abbreviation,japanese,english
NAP,好中球アルカリフォスファターゼ,Neutrophil　Alkaline　Phosphatase
NB,神経芽腫,Neuroblastoma
N-B,鼻・胆道チューブ,Naso-Biliary（Tube)
NBAS,新生児行動評価,Newbone　Behavioral　Assessment　Scale
NBM,経口摂取不可,Nothing　By　Mouth
NBN,新生児室,Newborn　Nursery
NBTE,非細菌性血栓性心内膜炎,Non-Bacterial　Thrombotic　Endocarditis
NC,訴えなし,No　Complaints
NCC,無冠状動脈弁尖,Non　Coronary　Cusp
NCCHD,非チアノーゼ性先天性心疾患,Non-cyanotic　Congenital　Heart　Disease
NCE,非痙攣性てんかん,Nonconvulsive　Epilepsy
N-CPAP,経鼻持続的陽圧呼吸,Nasal　Continuous　Positive　Aiｒway　Pressure
NCU,神経疾患集中治療室,Neurologic　（Intensive)　Care　Unit
ND,看護診断,Nursing　Diagnosis
NDI,腎性尿崩症,Nephrogenic　Diabetes　Inspidus
NE,ノルエピネフリン,Norepinephrine
NF,神経線維腫症,Neurofibromatosis
NEC,壊死性腸炎,Necrotizing Enterocolitis
NEEP,呼気終末陰圧,Negative　End-Expiratory　Pressure
neg,陰性の,Negative
Neutro,好中球,Neutrophilic　Leukocyte
NF,中性脂肪,Neutral　Fat
NG,腎造影法,Nephrography
NGB,神経因性膀胱,Neurogenic　Bladder
NHC,非ケトン高浸透圧性昏睡,Non-Ketotic　Hyperosmolar　Coma
NHL,非ホジキンリンパ腫,Non-Hodgkin's　Lymphoma
NHP,非ヘモグロビン蛋白,Non-Hemoglobin　Proteins
NICU,神経疾患集中管理室,Neurologic　Intensive　Care　Unit
NIDDM,インスリン非依存型糖尿病,Non-insulin-Dependent Diabetes Mellitus
NK,NK(ナチュラルキラー)細胞,Natural Killer(cell)
NL,正常範囲,Normal Limits
NLA,ニューロレプト麻酔、神経遮断麻酔、神経弛緩麻酔,Neuroleptanesthesia(analgesia)
NLD,糖尿病性脂肪類壊死症,
NLE,新生児エリテマトーデス,Neonaral Lupus Erythematosus
NLP,失明、視力零,No Light Perception
NM,核医学,Nuclear Medicine
NMR,核磁気共鳴,Nuslear Magnetic Resonance
NN,神経鞘腫,Neurinoma
NO,笑気,Nitrous Oxide
NP,鼻ポリープ,Nasal Polyp
NPC,鼻咽頭癌,Nasopharygeal Carcinoma
NPH,NPHインスリン、中間型インスリン,Neutral-Protamine-Hagedorn(insulin)
NR,正常範囲,Normal Range
NS(S),生理食塩水,Normal Saline(solution)
NSAID,非ステロイド系抗炎症剤,Non-Steroidal Anti-Inflammatory Drug
NSD,経膣自然分娩,Normal Spontaneous Delivery
NSR,正常洞調律,Normal Sinus Rhythm
NST,ノンストレステスト,Non Stress Test
NTG,ニトログリセリン,Nitroglycerin
NTP,常温１気圧,Normal Temperature and Pressure
N&V,悪心、嘔吐,Neusea and Vomiting
Ny,眼振,Nystagmus
O,酸素,Oxygen
OA,後頭動脈,Occipital
OAC,直視下大動脈弁交連切開（術）,Open Aortic Commissurotomy
OALL,前縦人体骨化症,Ossification of Anterior Longitudinal Ligament
OA-PICA,後頭動脈・後下小脳動脈吻合（術）,Occipital Artery-Posterior Inferior Cerebellar Artery(anastomosis)
OB,潜血,Occult Blood
Ob,斜位,Oblique
OBD,器質性脳疾患,Organic Brain Disease
OBS,器質性脳症候群,Organic Brain Syndrome
OC,経口避妊薬,Oral Contraceptive
O＆C,発症と経過,Onset and Course
OCD,強迫性障害,Obsessive-Compulsive Disorder
OCG,経口胆嚢造影（法）,Oral Cholecystography
OCT,オキシトシン負荷試験,Oxytocin Challenge Test
OCU,分娩監視装置,Obstetric Care Unit
OCV,硝子体混濁,Opacitas Corporis Vitrei(ラ)
OD,起立性調節障害,Orthostatic Dysregulation
ODA,右前方後頭位（胎位）,Occipitodextra Anterior(position)
ODC,酸素解離曲線,Oxygen Dissociation(saturation)Curve
OEF,酸素摂取率,Oxygen Extraction Fraction
OER,酸素増感比,Oxygen Enhancement Ratio
OGI,骨形成不全症,Osteogenesis Imperfecta
OGTT,経口ブドウ糖負荷試験,Oral Glucose Tolerance Test
OH,起立性低血圧（症）,Orthostatic Hypotension
OHP,高圧酸素療法,Oxygen of Hyperbaric Pressure、Oxygen under High Pressure
OI,オキシトシン分娩誘導,Oxytocin Induction
OICU,産科集中監視室,Obstetric Intensive Care Unit
Oint,軟膏,Ointment
OKN,視運動性眼振,Optokinetic Nystagmus
OLA,左頭前方位（胎位）,Occipitolevoanterior(position)
OLF,黄色靭帯骨化（症）,Ossification of Ligamentum Flavum
OLP,左後頭後方位（胎位）,Occipitolevoposterior(position)
OLT,左後頭横位（胎位）,Occipitolevotransverse(position)
OM,鈍縁枝,Obtuse Marginal(coronary artery)
OMC,直視下僧帽弁交連切開（術）,Open Mitral Commissurotomy
OMD,器質性精神疾患,Organic Mental Disorder
OME,滲出性中耳炎,Otitis Media with Effusion
OMI,陳旧性心筋梗塞,Old Myocardial Infarction
OP,浸透圧,Osmotic Pressure
ope,手術,Operation
OPLL,後縦靭帯骨化（症）,Ossification of Posterior Longitudinal Ligament
OPV,経口ポリオワクチン,Oral Polio Vaccine
OR,オッズ比,Odds Ratio
ORIF,観血的整復と内固定,Open Reduction and Internal Fixation
OS,後頭仙骨位（胎位）,Occipitosacral (position)
OSAS,閉塞性睡眠時無呼吸症候群,Obstructive Sleep Apnea Syndrome
osteo,骨髄炎,Osteomyelitis
OT,見当識検査,Orientation Test
OTCA,術中経管的冠状動脈形成（拡張）術,Operative Transluminal Coronary Angioplasty
Ova Ca,卵巣癌,Ovarian Carcinoma
OYL,黄色靭帯骨化症,Ossification of Yellow Ligament
P,圧,Pressure
PA,悪性貧血,Pernicious Anemia
P&A,打診と聴診,Percussion and Ausculation
PAB,肺動脈絞扼術,Pulmonary Artery Banding
PAC,心房期外収縮,Premature Atrial Contractions
PACE,コミュニケーション能力測定法,Promoting Aphasics' Communication Effectiveness
PACO2、PAco2,肺胞気二酸化炭素分圧,Partial Pressure of Alveolar Carbon Dioxide
PaCO2、Paco2,動脈血二酸化炭素分圧,Partial Pressure of Arterial Carbon Dioxide
PACS,（医用）画像管理システム,Picture Archiving and Communication System
PACU,麻酔後回復室,Post Anesthesia Care Unit
PADP,肺動脈拡張終（末）期圧,Pulmonary Arterial Diastolic Pressure
PAｆ,発作性心房細動,Paroxymal Atrial Fibrillation
PAG,骨盤内血管撮影（法）,Pelvic Angiography
PAH,妊娠高血圧症,Pregnancy Associated Hypertension
pal,動悸,Palpitation
PAO2,肺胞気酸素分圧,Partial Pressure of Oxygen in Alveoli
PaO2,動脈血酸素分圧,Partial Pressure of Arterial Oxygen
PAOP,肺動脈閉塞圧,Pulmonary Artery Occlusion Pressure
PAP,肺動脈圧,Pulmonary Artery Pressure
PAP、Pap,パパニコロー染色法,Papanicolaou Staining
PAPVC,部分肺静脈還流異常（症）,Partial Anomalous Pulmonary Venous Connection
PAPVD,部分肺静脈還流異常（症）,Partial Anomalous Pulmonary Venous Drainage
PAPVR,部分肺静脈還流異常（症）,Partial Anomalous Pulmonary Venous Return
PAR,肺小動脈抵抗,Pulmonary Arteriolar Resistance
para,対麻痺,Paraplegia
parox,発作の、痙攣の,Paroxysmal
PASG,ショックパンツ,Pneumatic Antishock Garment
PAT,血小板凝集試験,Platelet Aggregation Test
Paw,気道内圧,Airway Pressure
PAWP,肺動脈楔入圧,Pulmonary Artery Wedge Pressure
PB,期外収縮,Premature Beat
PB、Pｂ,大気圧,Barometric Pressure
Pb,鉛,Plumbum
PBF,肺血流量,Pulmonary Blood Flow
PC,褐色細胞腫,Pheochromocytoma
PC、Pca,前立腺癌,Prostatic Carcinoma
PC(A),後交通動脈,Posterior Communicating
PCA,患者による除痛管理,Patient Controlled Analgesia
PCF,咽頭結膜熱,Pharyngoconjunctival Fever
PCG,心音図,Phonocardiogram
PC-HLA,濃厚血小板HLA,Platelet Concentrate HLA
PC-IOL,後房レンズ,Posterior Chamber Intraocular Lens
PCL,後十字靭帯,Posterior Cruciate Ligament
PCN,経皮的腎瘻造設術,Percutaneous Nephrostomy
PCO,一酸化炭素分圧,Carbon Monoxide Pressure
PCO2,二酸化炭素分圧,Partial Pressure of Carbon Dioxide
Pcom(A),後交通動脈,Posterior Communicating(artery)
PCP,肺毛細血管圧,Pulmonary Capillary Pressure
PCPS,経皮的簡易人工肺,Percutaneous Dardiopulmonary Support
PCS,門脈下大静脈吻合(術),Portacaval Shunt
PCU,緩和ケア病棟,Palliative Care Unit
PCV,圧調節式人工換気,Pressure Controlled Ventilation
PCWP,肺毛細血管楔入圧,Pulmonary Capillary Wedge Pressure
PD,冠状動脈後下行枝,Posterior Descending Coronary Artery
PDA,動脈管開存(症),Patant Ductus Arteriosus
PDR,増殖型糖尿病網膜症,Proliferative Diabetic Retinopathy
PDS,胎盤機能不全症候群,Placental Dysfunction Syndrome
PE,血漿交換,Plasma Exchange
PECO2,呼気二酸化炭素分圧,Mixed Expired CO2 Tension
PEEP,呼気終末期陽圧呼吸,Positive End-Expiratory Pressure
PEF,最大呼気流量,Peak Expiratory Flow
PEFR,最大呼気速度,Peak Expiratory Flow Rate
PEG,気脳造影(法),Pneumoencephalography
PEP/(V)ET,心室駆出前期/駆出時間比,Preejection Period/Ventricular Ejection Time
PER,最大駆出率,Peak Ejection Rate
Pes,食道内圧,Esophageal Pressure
PET,陽電子放出形CT、ポジトロンエミッションCT,Positron Emission(computerized)Tomography
PFO,卵円孔開存,Patent Foramen Ovale
PFR,最大充満速度,Peak Filling Rate
PFT,肺機能検査,Pulmonary Function Test
PG,プロシタグランジン,Prostaglandin
PH,既往歴,Past History
PHC,光凝固,Photocoagulation
PhC,セメント充填,Phosphate Cemant Filling
PI,現病歴,Present Illness
PIB,部分回腸バイパス術,Partial Ileal Bypass
PICA,後下小脳動脈,Posterior Inferior Cerebellar Artery
PICU,周産期集中治療室,Perinatal Intensive Care Unit
PID,骨盤内炎症性疾患,Pelvic Inflammatory Disease
PIH,妊娠性高血圧,Pregnancy Induced Hypertension
PIO2,吸入気酸素分圧,Inspiratory O2 Pressure
PIP,最大吸気圧,Peak Inspiretory Pressure
PK,膵癌,Pankreaskrebs
PKK,膵頭部癌,
PKN,パーキンソン症候群,Parkinsonism
PKU,フェニルケトン尿症,Phenylketonuria
PL,後側壁枝,Poterolateal Artery(branch)
Plat,血小板,Platelet
PLE,胸膜,Pleura
PLF,後側方固定(術),Posterolateral Fusion
PLIF,後方経路腰椎椎体間固定(術),Posterior Lumbar Interbody Fusion
PLT,血小板,Platelet
PM,ペースメーカー,Pacemaker
Pm,平均血圧,Mean Blood Pressure
Pmax,最高圧,Maximum Pressure
PMD,原発性心筋(症),Primary Myocardial Disease
PM/DM,多発性筋炎/皮膚筋炎,Polymyositis/Dermatomyositis Complex
PMI,術中心筋梗塞,Perioperative Myocardial Infaection
PML,僧帽弁後尖,Posterior Mitral Leaflet
PMS,閉経期後症候群,Postmenopausal Syndrome
PN,腎盂腎炎,Pyelonephritis
PNI,癌神経周囲浸潤,Perineural Invasion
PNPB,陽陰圧呼吸法,Positive Negative Pressure Breathing
PNPV,(自動)陽陰圧呼吸装置,Positive Negative Pressure Ventilator
PNS,副交感神経系,Parasympathetic Nervous System
Pnx,気胸,Pneumothorax
PO,術後,Post Operative
PO、po,口から(摂取する)、経口的,
PO2,酸素分圧,Partial Pressure of Oxygen
POD,術後日,Post Operetive Day
POS,問題指向型システム,Problem-Oriented System
post,後の、後方へ,Posterior
PP,灌流圧,Perfusion Pressure
Pp,血漿蛋白,Plasma Protein
Ppa,肺動脈圧,Pulmonary Arterial Pressure
PPB,陽圧呼吸,Positive Pressure Breathing
PPC,心嚢気腫,Pneumopericardium
PPF,血漿蛋白分画,Plasma Protein Fraction
PPG,幽門輪保存胃切除(術),Pylorus Preserving Gastrectomy
PPH,原発性肺高血圧(症),Primary Pulmonary Hypertension
PPHD,蛋白漏出性血液透析(法),Protein-Permeating Hemodialysis
PPHDF,蛋白漏出性透析濾過(法),Protein-Permeating Hemodiafiltration
PPHN,新生児遷延性肺高血圧症,Persistent Pulmonery Hypertension of the Newborn
PPI,プロトンポンプ阻害薬,Proton Pump Inhibitor
Ppl,胸腔内圧,Intrapleural Pressure
PPPD,全胃幽門輪温存膵頭十二指腸切除(術),Pylorus-Preserving Pancreatoduodenectomy
PPT,血漿プロトロンビン時間,Plasma Prothrombin Time
PPV,陽圧換気,Positive Pressure Ventilation
PQ,房室伝導時間,Atrio-Ventricular Conduction(time)
PR,骨盤動揺,Pelvic Rock
preg,妊娠,Pregnancy
pre-medi,前投薬,Preanesthetic Medication
PROM,前期破水,Premature Rupture of the Membranes
PS,収縮期圧,Pressure Systolic
PSG,睡眠脳波検査,Polysomnogram
PSH,脊髄麻酔後頭痛,Post Spinal Headache
PSI,肺動脈狭窄閉鎖不全,Pulmonic Steno-Insufficiency
PSP,フェノールスルホンフタレイン,Phenolsulfonphthalein(phenol red)
PSR,肺動脈弁狭窄兼閉鎖不全症,Pulmonary Stenosis and Regurgitation
PSS,生理食塩水,Physiological Saline Solution
PST,パンクレオザイミン・セクレチン試験,Pancreozymin-Secretin Test
PSV,圧補助換気法,Pressure Spport Ventilation
PSVT,発作性上室性頻拍,Paroxysmal Supraventricular Tachycardio
PT,錐体路,Pyramidal Tract
Pt、pt,患者,Patient
PTA,経皮的血管拡張(術),Percutaneous Transluminal Angiodilatation
PTCA,経皮的冠状動脈形成(術),Percutaneous Transluminal Coronary Angioplasty
PTCD,経皮的肝胆道ドレナージ,Percutaneous Transhepatic Cholangioldrainage
PtcO2,経皮酸素分圧,Partial Pressure of Transcutaneous Oxygen
PTCR,経皮的冠状動脈血栓溶解療法,Percutaneous Translumonal Coronary Recanalization
PTE,肺動脈血栓塞栓(症),Puimonary Thromboembolism
PTGBD,経皮経肝胆嚢ドレナージ,Percutaneous Transhepatic Gallbladder Drainage
PTH,輸血後肝炎,Posy-Transfusion Hepatitis
PTLS,副甲状腺ホルモン様物質,Parathormonelike Subtrance
PTMC,経皮的経静脈的僧帽弁交連切開(術）,Percutaneous Transluminal Mitral Commissurotomy
PTN,錐体路ニューロン,Pyramidal Tract Neuron
PTO,経皮経肝(食道静脈瘤)塞栓(術),Percutaneous Transhepatic Obliteration(of Gastroesophageal varices)
PTP,経皮経肝的門脈造影(法),Percutaneous Transhepatic Portography
PTR,膝蓋腱反射,Patellar Tendon Reflex
PTSD,外傷後ストレス病,Post-Traumatic Stress Disorder
PTX,気胸,Pneumothorax
PV,肺静脈,Pulmonary Vein
P-V,腹腔静脈シャント,Peritoneo-Venous(shunt)
PVC,心室期外収縮,Premature Ventricular Contraction
PvCO2,混合静脈二酸化炭素分圧,Mixed Venous Carbon Dioxide Pressure
PVE,人工弁心内膜炎,Prosthetic Valve Endocarsitis
PVG,気脳室造影(法）,Pneumoventriculography
PVH,脳室周囲出血,Periventricular Hemoyyhage
PVN,末梢静脈栄養,Peripheral Venous Nutrition
PVO,肺静脈閉塞,Pulmonary Venous Obstruction
PvO2,混合静脈酸素分圧,Mixed Venous Oxygen
PVOD,肺血管閉塞性病変,Pulmonary Vascular Obstructive Disease
PVR,肺血管抵抗,Pulmonary Vascular Resistance
PVT,発作性心室頻拍,Paroxysmal Ventricular Tachycardia
PX,身体検査,Physical Examination
Px,既往歴,Past History
Q,Q熱（Qは疑問の意味）,Q fever
QOL,生命の質、生活の質,Quality Of Life
Qp/Qs,肺体血流比,Pulmonary Blood Flow/Systemic Blood Flow Ratio
QT,クイック試験,Quick Test
quad,四肢麻痺,Quadriplegic
R,R波,R-wave
RA,安静時狭心症,Rest Angina
Ra,上部直腸,Rectum above the peritoneal reflection
RAA,右心耳,Right Atrial Appendage
RAD,右軸偏位,Right Axis Deviation
Rad、Rad Ther,放射線治療,Radiotherapy
rad op,根治手術,Radical Operation
RAG,腎動脈造影（法）,Renal Arteriography
RAHA,リウマチ血球凝集試験,Rheumatoid Arthritis Hemagglutination Test
RAMC flap,腹直筋皮弁,Rectus Abdominis Musculocutaneous Flap
RAO,右前斜位,Right Anterior Oblique
RAP,右房圧,Right Atrial Pressure
RARS,鉄芽球性不応性貧血,Refractory Anemia with Ringed Sideroblasts
RAS,腎動脈狭窄,Renal Artery Stenosis
Raw,気道抵抗,Airway Resistance
RB,腎生検,Renal Biopsy
Rb,下部直腸,Rectum Below the Peritoneal Reflection
RBBB,右脚ブロック,Right Bundle Branch Block
RBC、rbc,赤血球（数）,Red Blood Cell(count)
RBF,腎血流量,Renal Blood Flow
RC,呼吸中枢,Respiratory Center
RCA,右冠状動脈,Right Coronary Artery
Rca,直腸癌,Rectal Cancer
rCBF,局所脳血流量,Regional Cerebral Blood Flow
RCC,腎細胞癌,Renal Cell Carcinoma
RCG,心放射図,Radiocardiogram
RCIT,赤血球鉄代謝,Red Cell Iron Turnover
RCM,拘束型心筋症,Restrictive Cardiomyopathy
RCT,腱索断（破）裂,Ruptured Chordae Tendineae
RCU,呼吸集中治療室,Respiratory Care Unit
RCV,赤血球容積,Red Cell Volume
RD,呼吸窮迫,Respiretory Distress
RDS,呼吸窮迫症候群,Respiretory Distress Syndrome
ref,反射,Reflex
reg,規則的,Regular
REGAP,食道胃後上行枝,Ramus Esophagogastricus Ascendens Posterior
Reha、Rehabili,リハビリテーション,Rehabilitation
REM,逆説睡眠、急速眼球運動睡眠、レム睡眠,Rapid Eye Movement(sleep)
REP,逆行性腎盂造影(法),Retrograde Pyelography
REPE,再拡張性肺水腫,Re-Expansion Pulmonary Edema
resp,呼吸,Respiration
Ret,網状赤血球,Reticulocyte
RF,呼吸不全,Respiratory Failure
RFA,右後前頭位(胎位),Right Frontoanterior(position)
RFP,リファンピシン,Rifampicin
RFT,右横前頭位(胎位),Right Frontotransverse(position)
RGA,右胃動脈,Right Gastric Artery
RGE,右胃大網動脈,Right Gastroepiploic Artery
Rh,Rh因子,Rhesus Factor
rh,ラ音,Rhonchus
RHA,右肝動脈,Right Hepatic Artery
RHC,右心カテーテル,Right Heart Catheterization
RHD,リウマチ性心疾患,Rheumatic Heart Disease
RHV,右肝静脈,Right Hepatic Vein
RI,核医学検査,Radioisotope(examination)
RICU,呼吸器疾患集中治療室,Respiratory Intensive Care Unit
RIF,右腸骨窩,Right Iliac Fossa
RK,直腸癌,
RKM,ロキシタマイシン,Rokitamycin
R-L,右-左シャント,Right-to-Left(cardiac shunt)
RLE,右下肢,Right Lower Extremity
RLL,右下肢,Right Lower Limb
RLND,後腹膜リンパ節摘除(術）,Retroperitoneal Lymph Node Dissection
RLQ,右下腹部,Right Lower Quadrant
RMA,右頤前方位（胎位）,Right Mentoanterior(position)
rMBF,局所心筋血流量,Regional Myocardial Blood Flow
RMI,亜急性心筋梗塞,Recent Mypcardial Infarction
RML,右中外側,Right Mediolateral
RMP,右頤後方位(胎位）,Right Mentoposterior(position)
RMT,右頤横位(胎位),Right Mentotransverse(position)
RMV,分時呼吸量,Respiratory Minute Volume
RN,逆流性腎症,Reflex Nephropathy
ROA,右前方後頭位(胎位）,Right bOccipitoanterior(position)
ROM,関節可動域,Range Of Motion
ROME,関節可動域訓練,Range Of Motion Exercise
ROMT,関節可動域テスト,Range Of Motion Test
ROP,右後方後頭位(胎位）,Right Occipitoposterior(position)
ROT,右後頭横位(胎位),Right Occipitotransverse(position)
RP,逆行性腎盂造影(法),Retrograde Pyelography
Rp,処方せよ,
RPA,右肺動脈,Right Pulmonary Artery
RQ,呼吸商,Respiratory Quotient
RR,回復室,Recovery Room
RRP,相対不応期,Relative Refractory Period
RRPM,心拍応答型ペースメーカー,Rate Responsive Pacemaker
RS,呼吸音,Respiratory Sound
RSA,右仙骨前位（胎位）,Right Sacroanterior(position)
RSP,右仙骨後位(胎位）,Right Sacroposterior(position)
RST,右仙骨横位(胎位）,Right Sacrotransverse(position)
RSTI,右室収縮時間比,Right Systlic Time Interval
RT,呼吸療法,Respiratory Therapy
R/T、R/t,～に関連した,Related To
rt,右側臥位,Right Lateral Position
RTBD,逆行性経肝胆道ドレナージ,Retrograde Transhepatic Biliary Drainage
RUE,右上肢,Right Upper Extremity
RUL,右上肢,Right Upper Limb
RUM,残尿測定,Residual Urine Measurement
RUQ,右上腹部,Right Upper Quadrant
RV,右心室(枝),Tight Ventricle(branch)
RVAD,右心補助人工心臓,Right Ventricular Assist Device
RVCD,右室伝導遅延,Right Ventricular Conduction Delay
RVEDP,右室拡張終(末)期圧,Right Ventricular End-Diastolic Pressure
RVEF,右室駆出分画,Right Ventricular Ejection Fraction
RVET,右室駆出時間,Right Ventricular Ejection Time
RVG,右室造影(法),Right Ventriculography
RVH,右室肥大,Right Ventricular Hypertrophy
RVI,右室梗塞,Right Ventricular Infarction
RVMDP,右室平均拡張期圧,Right Ventricular Mean Diastoric Pressure
RVP,右室圧,Right Ventricular Pressure
RVR,腎血管抵抗,Renal Vascular Resistance
Rx,処方、処方箋,Prescription or take Recipe or formula
RXM,ロキシスロマイシン,Roxithromycin
R-Y,ルーY型腸吻合(術),Roux-en Y-anastomosis
S,S波,S-wave
SⅡ,第2心音,Second heart sound
SⅢ,第3心音,Third heart sound
SⅣ,第4心音,Fourth heart sound
s,秒,Second
SA,安静型狭心症,Stable Angina
SAB,選択的肺胞気管支造影（法）,Selective Alveolar Bronchography
