abbreviation,japanese,english
SACT,洞房伝導時間,Sinoatrial Conduction Time
SAH,クモ膜下出血,Subarachnoid Hemorrhage
SAN,洞房結節,Sinoatrial Node
SaO2,動脈血酸素飽和度,Saturation of Arterial blood oxygen
Sar,サルコイドーシス,Sarcoidosis
SAS,睡眠時無呼吸症候群,Sleep Apnea Syndrome
SAS(S),大動脈弁上狭窄（症候群）,Supravalvular Aortic Stenosis(syndrome)
SB,自発呼吸,Spontaneous Breathing
S-B,セングステークン・ブレークモア食道静脈瘤止血用チューブ、SBチューブ,Sengstaken-Blakemore Tube
SBD,老人性脳疾患,Senile Brain Disease
SBE,亜急性細菌性心内膜炎,Subacute Bacterial Endocarditis
SBP,最大（収縮期）血圧,Systolic Blood Pressure
SBPC,スルホベンジルペニシリン（スルベニシリン）,Sulfobenzylpenicillin(Sulbenicillin)
SBR,小腸大量切除（術）,Small Bowel Massive Resection
SBS,脊髄延髄脊髄反射,Spino-Bulbo-Spinal(reflex)
SC,皮下（注射）,Subcutaneous(injection)
Sc,肩甲骨,Scapula
sc,胸鎖関節の,Sternoclavicular
SCA,鎌状赤血球貧血,Sickle Cell Anemia
SCC,小細胞癌,Small Cell Carcinoma
SCD,脊髄小脳変性（症）,Spinocerebellar Degeneration
SCFE,大腿骨頭すべり症,Slipped Capital Femoral Epiphysis
Schiz,精神分裂病,Schizophrenia
SCI,脊髄損傷,Spinal Cord Injury
sci,硬性型（胃癌）,Scirrhous Type
SCIA,浅腸骨回旋動脈,Superficial Circumflex Iliac Artery
SCID,重症複合免疫不全症,Severe Combined Immunodeficiency
Scicti,シンチレーション、シンチグラム,Scintillation、Scintigram
SCIS,重症複合免疫不全症候群,Severe Combined Immunodeficiency Syndrome
SCLC,小細胞肺癌,Small Cell Lung Cancer
SCM,胸鎖乳突筋,Sternocleidomastoid Muscle
SCR、Scr,血清クレアチニン,Serum Creatinine
SCT,スパイナル（脊髄）CT,Spinal Computed Tomography
SD,変形性脊椎症,Spondylosis Deformans
SDAT,アルツハイマー型老年痴呆,Senil Dementia of Alzheimer Type
SDB,真皮浅層熱傷,Superficial Dermal Burn
SDH,硬膜下血腫,Subdural Hematoma
SDR,単純型糖尿病性網膜症,Simple Diabetic Retinopathy
SEP,（冠状動脈）中隔穿通枝,Septal Coronary Perforating Artery(branch)
SEV,セボフルレン,Sevofluren
SFD,妊娠期間に比して小さい,Small-For-Dates(infant)
SG,比重,Specific Gravity
SGA,短胃動脈,Short Gastric Artery
SGC,スワン・ガンツカテーテル,Swan-Ganz Catherer
SGN,上殿神経,Superior Bluteal Nerve
SGO,外科・産婦人科,Surgery、Gynecology and Obstetrics
SGOT,血清グルタミン酸オキサロ酢酸トランスアミナーゼ,Serum Glutamic-Oxaloacetic Transaminase
SGPT,血清グルタミン酸ピルビン酸トランスアミナーゼ,Serum Glitamic-Pyruvic Transaminase
Sgt,妊娠,
SH,血清肝炎,Serum Hepatitis
SHP,二次性副甲状腺機能亢進症,Secondary Hyperparethyroidism
SHS,仰臥位低血圧症候群,Supine Hypotensive Syndrome
SI,１回拍出係数,Stroke Index
SIDS,乳幼児突然死症候群,Sudden Infant Death Syndrome
SIMV,周期的間歇的強制換気法,Synchronized Intermittent Mandatory Ventilation
sin,左の,
SIRS,全身性炎症反応症候群,Systemic Inflammatory Response Syndrome
SISO,シソマイシン,Sisomicin
SIT,スタンフォード知能テスト,Stanford Intelligence Test
SK,ストレプトキナーゼ,Streptokinase
SKA(O),長下肢装具,Supra Knee Ankle(orthosis)
SKI,皮膚,Skin
SK-SD,ストレプトキナーゼ・ストレプトドルナーゼ,Streptokinase-Streptodornase
SL,ストレプトリジン,Streptolysin
SLB,短下肢装具,Short-Leg Brace
SLC,短下肢ギプス,Short-Leg Cast
SLE,全身性エリテマトーデス、全身性紅斑性狼瘡,Systemic Lupus Erythematosus
SLV,左室性単心室,Single Left Ventricle
SM,収縮期雑音,Systolic Murmur
SMA,上腸間膜動脈,Superior Mesenteric Artery
SMBG,血糖自己測定,Self Monitoring of Blood Glucose
SMC,自己乳房管理,Self Mamma Control
SMDS,青壮年急死症候群,Sudden Manhood Death Syndrome
SMI,無症候性心筋虚血,Silent Myocardial Ischemia
SMON,亜急性脊髄視神経障害、スモン病,Subecute Myelo-Optico-Neuropthy
SMV,上腸間膜動脈,Superior Mesenteric Vein
SN,洞房結節,Sinus Node
SNRT,洞結節回復時間,Sinus Node Recovery Time
SNS,交感神経系,Sympathetic Nervous System
S/O,～の疑い,Suspect Of
SO2,酸素飽和度,Oxygen Saturation
SOB,息切れ,Shortness Of Breath
Sol、sol、soln,溶液,Solution
SP,脊椎,Spinal
S/P,～の後の状態,Status Post
Sp,棘波,Spike
SPCA,短後毛様体動脈,Shoet Posterior Ciliary Artery
SPCM,スペクチノマイシン,Spectinomycin
SPFX,スパルフロキサシン,Sparfloxacin
SpGr,比重,Specific Gravity
SPMA,脊髄性進行性筋萎縮症,Spinal Progressive Muscular Atrophy
SPO2、SpO2,（パルスオキシメーターによる）動脈血酸素飽和度,Oxygen Saturation of Arterial Blood Measured by Pulse Oximeter
Sppc,慢性化膿性副鼻腔炎,
Sp&W,棘徐波複合,Spike and Wave Complex
SQ,皮下の,Subcutaneous
sq,扁平上皮癌,Squamous Cell Carcinoma
SR,正常調律,Sinus Rhythm
SRA,上直腸動脈,Superior Rectal Artery
SRRD,睡眠関連呼吸障害,Sleep Related Respiratory Disturbance
SRT,洞結節回復時間,Sinus Node Recovery Time
SRV,右室性単心室,Single Right Ventricle
SS,鎌状赤血球,Sickle Cell
SSM,丸山ワクチン,Specific Substance Maruyama
SSS,洞不全症候群,Sick Sinus Syndrome
ST,ST部分（心電図）,ST-segment
StⅠ～Ⅳ,胃癌の肉眼的進行度を示す記号,
StⅠ～Ⅳ,胃癌の組織学的進行度を示す記号,
STA-MCA,浅側頭動脈・中大脳動脈吻合術,Superficial Temporal Artery-Middle Cerebral Artery(anastomosis)
Staph,ブドウ球菌,
stat,直ちに、至急,
STD,性（行為）感染症,Sexually Transmitted Disease
STH,ステロイドホルモン,Steroid Hormone
STI,（心）収縮時間,Systolic Time Interval
strept,連鎖球菌,
STZ,ストレプトゾトシン,Streptozotocin
SU,スルホニル尿素,Sulfonyl Urea
subcu、subcut,皮下の,subcutaneous
Subdura,硬膜下血腫,Subdural Hematoma
SUD,内因性急死,Sudden Unexpected Natural Death
SUED,原因の明らかな突然死,Sudden Unexpected but Explained Death
supp,坐剤,Suppository
sut,縫合（単数）,
sutt,縫合（複数）,
SUUD,原因不明の突然死,Sudden Unexpected and Unexplained Death
SV,１回拍出量,Stroke Volume
SVASS,大動脈弁上狭窄症候群,Supravalvular Aortic Stenosis Sydrome
SVC,上大静脈,Superior Vena Cava
SVCG,上大静脈（造影）,Superior Vena Cavography
SVCS,上大静脈症候群,Surerior Vena Cava Syndrome
SVD,一枝病変,Single Vessel Dosease
SVG,伏在静脈移植片,Saphenous Vein Graft
Svo2、SvO2,混合静脈血酸素飽和度,Mixed Venous Oxygen Saturation
SVPC,上室期外収縮,Supraventricular Premature Contraction
SVR,体血管抵抗,Systemic Vascular Resistance
SVT,上室頻拍,Supraventricular Tachycardia
SW,１回仕事量,Stroke Work
S&W、SWC,棘徐波複合,Spike and Wave Complex
SWI,１回仕事量係数,Stroke Work Index
SWR,血清ワッセルマン反応,Serum Wasserman Reaction
T,温度、体温,Temperature
TA,三尖弁閉鎖（症）,Tricuspid Atresia
T＆A,扁桃摘出（術）とアデノイド切除（術）,Tonsillectomy and Adenoidectomy
TAA,胸部大動脈瘤,Thoracic Aortic Aneurysma
Tab,錠剤,Tablet
tachy,頻脈,Tachycardia
TAE,経カテーテル肝動脈塞栓（術）,Transcatheter Arterial Embolization
TAH,完全人工心臓,Total Artiflcial Heart
TAI,肝動脈注入療法,Transhepatic Arterial Infusion
TAO,閉塞性血栓性血管炎、バージャー病,Thromboangiitis Obliterans
TAP,三尖弁輪形成（術）,Tricuspid Annuloplasty
TAR,人工足関節置換術,Total Ankle Replacement
TB,結核,Tuberkulose(独)
TBAB,経気管支針吸引生検,Transbronchial Aspiration Biopsy
Tbc,結核,Tuberculosis(ラ)
T-Bil,総ビリルビン,Total bBilirubin
TBL,気管支洗浄,Tracheobronchial Lavage
TBLB,経気管支肺生検,Transbronchial Lung Biopsy
TBLC,満期出産、出生児,Term Birth、Living Child
TBT,気管気管支内洗浄,Tracheobronchial Toilet
TBV,全血液量,Total Blood Volume
TBW,体内総水分（両）,Total Body Water
TC,総コレステロール,Total Cholesterol
T&C,血液型判定および交差試験,Type and Cross match
TCA,三環系抗うつ薬,Tricyclic Antidepressant
TCI,一過性脳虚血,Transient Cerebral Ischemia
TCIE,一過性脳虚血発作,Transient Cerebral Ischemic Episode
TcPaCO2,経皮的動脈血二酸化炭素分圧,Transcutaneous Partial Pressure of Arterial Carbon Dioxide
TcPaO2,経皮的動脈血酸素分圧,Transcutaneous Partial Pressure of Arterial Oxygen
T-CPAP,気管内挿管持続陽圧呼吸,Tube Continuous Psitive Airway Pressure
TCｓ,テトラサイクリン系抗生物質,Tetracyclines
TDA,血中薬物濃度測定,Therapeutic Drug Assay
tds,１日３回服用,
TEE,経食道エコー心電図,Transeophageal Echocardiogram
temp,温度、体温,Temperature
TESPA,トリエチレンチオホスホラミド（チオテパ）,Triethylenethiophosphoramide(thiotepa)
tetra,四肢麻痺,Tetraplegia
TF,経管栄養,Tube Feeding
TF、T/F,ファロー四徴（症）,Tetralogy of Fallot
TFLX,トスフロキサシン,Tosufloxacin
TG,中性脂肪、トリグリセリド,Triglyceride
TGA,一過性全健忘,Transient Global Amnesia
TGV,大血管転位（症）,Transpotion of Great Vessel
TH,視床（内側）出血,Thalamic Hemorrhage
Th,胸椎の、胸髄の,Thorasic
Th(1～12),（第１～12）胸椎,Thorasic Vertebral
THA,終末肝動脈枝,Terminal Hepatic Arteriole
THR,人工股関節全置換術,Total Hip Replacement
TI,三尖弁閉鎖不全（症）,Tricuspid Insufficiency
TIA,一過性脳虚血発作,Transient Ischemic(cerebral)Attack
TICO,急性冠動脈閉塞の血栓溶解,Thrombolysis In Acute Coronary Occlusion
TIE,一過性虚血発作,Transient ischemic Episode
TIG,破傷風免疫グロブリン,Tetanus Immune Globulin
TIMI,心筋梗塞の血栓溶解,Thrombolysis In Myocardial Infarction
TIN,間質性腎炎,Tubulointerstitial Nephritis
TJR,関節全置換術,Total Joint Replacement
TKA,膝関節全置換術,Total Knee Arthroplasty
TKR,人工膝関節置換術,Total Knee Replacement
TL,側頭葉,Temporal Lobe
TLC,全肺気量,Total Lung Capasity
TLV,全肺容量,Total Lung Volume
TM,腫瘍マーカー,Tumor Merker
Tmax,最高血中濃度到達時間,Time of Maximum Concentration
TN,三叉神経痛、三叉神経,Trigeminal Neuralgia、Trigeminal Nerve
TNG,トリニトログリセリン,Trinitroglycerin
TNM,TNM（腫瘍・リンパ節転移・遠隔転移）分類,Tumor、Node、Metastasis(classification)
TNT,トロポニンT,Troponin T
TOB,トブラマイシン,Tobramycin
TOF,ファロー四徴（症）,Tetralogy Of Fallot
Tomo、tomo,X線断層撮影（法）,Tomography
TOP,妊娠の終結、妊娠中絶,Termination Of Pregnancy
TOPV,経口ポリオワクチン,Trivalent Oral Poliovirus Vaccine
Torr、torr,トール（圧力の単位）,Torricelli
TP,総蛋白,Total Protein
Tp,温度、体温,Temperature
TPA,完全経静脈栄養,Total Parenteral Alimetation
TPH、TPHA,完全経静脈栄養,Total Parenteral Hyperalimentation
TPHA,梅毒トレポネーマ赤血球凝集試験,Treponema Pallidum Hemagglutination(test)
TPI,梅毒トレポネーマ運動抑制試験,Treponema Immobilization(test)
TPIA,梅毒トレポネーマ免疫付着試験,Treponema Immune Adherence(test)
TPN,完全静脈栄養法,Total Parenteral Nutririon
TPP,血小板減少性紫斑病,Thrombocytopenic Purpura
TPR,全肺血管抵抗,Total Pulmonary Resistance
TPV,終末門脈枝,Terminal Portal Venule
TPVR,全肺血管抵抗,Total Pulmonary Vascular Resistance
TR,三尖弁逆流（症）,Tricuspid Regurgitation
Tr,気管,Trachea
tr,牽引,Traction
transpl,移植する、移植,Transplant、Transplantation
TRM,トリコマイシン,Trichomycin
TS,三尖弁狭窄（症）,Tricuspid Stenosis
TSB,全脊（椎）麻（酔）（法）,Total Spinal Block
TSI,三尖弁狭窄兼閉鎖不全症,Tricuspid Stenoinsufficiency
TSPR,全末梢（血管）抵抗,Total Systemic Pripheral Resistance
TSR,三尖弁狭窄兼閉鎖不全症,Tricuspid Stenosis and Regurgitation
TT,トロンビン時間,Thrombin Time
TTA,経気管吸引,Transtracheal Aspiration
TTN(B),新生児一過性頻呼吸,Transient Tachypnea of Newborn
TTP,血栓性血小板減少性紫斑病,Thrombotic Thrombocytopenic Purpura
TTTS,双胎（胎児）児間輸血症候群,Twin-To-Twin Transfusion Syndrome
TTX,テトロドトキシン,Retrodotoxin
TUR,経尿道的切除（術）,Transurethral Resection
TURBn,経尿道的膀胱頸部切除（術）,Transurethral Resection of Bladder Neck
TURBt、TUR-Bt,経尿道的膀胱腫瘍切除（術）,Transurethral Resecsion of Bladder Tumor
TURCaP,経尿道的前立腺癌切除（術）,Transurethral Resecsion of Carcinoma of Prostate
TURP,経尿道的前立腺切除（術）,Transurethral Resecsion of Prostate
TUV,全（24時間）尿量,Total Urine Volume
TV,1回換気量,Tidal Volume
Tv,胸椎,Thoracic Vertebrae
TVD,三枝病変,Triple Vessel Disease
TVH,膣式子宮全摘（術）,Total Vaginal Hysterectomy
TVP,三尖弁形成（術）,Tricuspid Valvuloplasty
TVR,三尖弁置換術,Tricuspid Valve Replacement
Tx,治療,Treatment
U,単位,Unit
UA,臍動脈,Umbilical Artery
UA(P),不安定狭心症,Unstable Abgina(Pectoris)
U/A,検尿,Urinalysis
UAC,臍動脈カテーテル,Umbilical Artery Catheter
UB,尿潜血,Uric Blood
UBF,子宮血流,Uterine Blood Flow
UC,潰瘍性大腸炎,Ulcerative Colitis
UCG,心エコー法,Ultrasound Cardiography
UCPmax,最高尿道閉鎖圧,maxmum Urethral Closure Pressure
UCPP,尿道閉鎖圧曲線,Urethral Closure Pressure Profile
UCR,無条件反射,Unconditioned Reflex
UCS,無条件刺激,Unconditioned Stimulus
UD,十二指腸潰瘍,Ulcus Duodeni（ラ）
UDT,停留睾丸,Undescended Testicle
U/E,上肢,Upper Extremity
UFA,遊離脂肪酸,Unesterified Fatty Acid
UFTM,ユーエフティー、マイトマイシンCの併用化学療法,UFT、Mitomycin C
UG,尿道造影（法）,Urethrography
UGI（S）,上部消化管（撮影）,Upper Gastrointestinal (series)
UHDF,超短時間血液透析濾過（法）,Ultrashort Hemodiafiltration
UHL,片側性肺門リンパ節腫大,Unilateral Hilar Lymphnode Enlargement
UI,潰瘍係数,Ulcer Index
UIP,通常型間室性肺炎,Usual Interstitial Pneumonia
UK,ウロキナーゼ,Urokinase
Ul,潰瘍,Ulcer
ULBW,極端な低出生体重児,Ultra Low Birth Weight
UN,尺骨神経,Ulnar Nerve
UO,尿量,Urinary Output
UP,尿蛋白,Urinal Protein
UPI,子宮胎盤機能不全,Uteroplacental Insufficiency
UPJ,腎盂尿管移行部,Uretero Pelvic Junction
UPPP,口蓋垂軟口蓋咽頭形成（術）,Uvulopalatopharyngoplasty
URI,上気道感染（症）,Upper Respiratory Infection
Uro,泌尿器科,Urology
US,下腿,Unterschenkel（独）
USB,不安定膀胱,Unstable Bladder
USL,超音波砕石術,Uitrasonic Lithotripsy
USN,超音波ネブライザー,Ultrasonic Nebulizer
UT,尿路,Urinary Tract
UTCA、Utca,子宮癌,Cancer ob Uterus
UTI,尿路感染（症）,Urinary Tract Infection
UV,胃潰瘍,Ulcus Ventriculi（ラ）
V,静脈,Vein
VA,視床前腹側核,(nucleus)Ventralis Anterior
V-A,静脈動脈バイパス（法）,Venoarterial Bypass
VA(P),異型狭心症,Variant Angina Pectoris
VA,分時肺胞換気量,Alveolar Ventilation per minute
VAD,心室補助装置,Ventricular Assist Device
VAG,椎骨動脈造影（法）,Vertebral Angiography
VAHS,ウィルス関連赤血球貪食症候群,Virusassociated Hemophagocytic Syndrome
VA/Q,肺換気血流比,Ventilation-perfusion Quotient(ratio)
VAS,心室補助装置,Ventricular Assist System
VAT,心房同期型心室ペーシング,Ventricular pacing、Atrial sensing、Triggered mode
VATS,胸腔鏡下手術,Video-Assisted Thoracic Surgery
VAZ,奇静脈,Vena Azygos（ラ）
VBA,椎骨脳底動脈,Vertebrobasilar Artery
VBI,椎骨脳底動脈循環不全（症）,Ventebrobasilar Insufficiency
VBR,側脳室-大脳比、脳室比,Ventricular-Brain Ratio
VC,肺活量,Vital Capacity
VCD,右結腸静脈,Vena Colica Dextra（ラ）
VCDA,副右結腸静脈,Vena Colica Dextra Accessoria（ラ）
VCG,排尿時膀胱尿道造影（法）,Voiding Cystourethrography
VCM,中結腸静脈,Vena Colica Media（ラ）
VCO2,二酸化炭素排出量,Carbon Dioxide Output
VCR,ビンクリスチン,Vincristine
VCS,上大静脈,Vena Cava Superior（ラ）
VD,死腔量,Volume of Dead air space
VDD,心室抑制心房同期型心室ペーシング,Ventriclke-Double-Double(pacing)
VDN,ビンデシン,Vindesine
VDS,Zielke(チールケ）法による脊柱前方固定術,Ventral Derotating Spinal Fusion
VDT/I,心房同期型心室ペーシング,Ventricle-Doublr-Trigger/Inhibit
VD/VT,死腔換気率,Dead-space gas Volume to Tidal Volume ratio
VE,吸引分娩（術）,Vacuum Extraction
VEDP,心室拡張終（末）期圧,Ventricular Endodiastolic Pressure
VEDV,心室拡張終（末）期量,Ventricular Endodiastolic Volume
VF,換気不全,Ventilatory Failure
VG,脳室造影（法）,Ventriculography
VGED,右胃大網静脈,Vena gastroepiploica Dextra（ラ）
VI,換気指数,Ventilation Index
VIP,エトポシド、イホスファミド、シスプラチンの併用化学療法,Etoposide(VP-16)、Ifosfamide、Cisplatin(CDDP)
VLB,ビンカロイコブラスチン（ビンブラスチン）,Vincaleukoblastine(vinblastine)
VLBW(I),極低出生体重（児）,Very Low Birth Weight(infant)
VLDL,超低比重リポ蛋白,Very Low Density Lipoprotein
VM,ビオマイシン,Viomycin
Vmax,最大呼気流量,Maximal Expiratory Flow
VMCP,ビンクリスチン、メルファラン、シクロホスファミド、プレドニゾロンの併用化学療法,Vinctistine、Melphalan、Cyclophosphamide、Prednisolone
VMP,ビンクリスチン、メトトレキサート、プレドニゾロンの併用化学療法,Vincristine、Methotrexate、Prednisolone
VMS,上腸間膜静脈,Vena Mesenterica Superior
Vol,容積,Volume
vol%,容積パーセント,Volume Per Cent
VP,静脈圧,Venous Pressure
V-P,脳室腹腔シャント,Ventriculo-Peritoneal(shunt)
VPB,心室期外収縮,Ventricular Premature Beat
VPC,心室期外収縮,Ventricular Premature Contraction(beat)
VPDIA,前下膵十二指腸静脈,
V/Q,換気/血流比,Ventilation-Perfusion Ratio
VR,換気予備率,Ventilation Resarve
VS、V/S、vs,バイタルサイン、生命兆候,Vital Sign
VSA,血管攣縮性狭心症,Vasospastic Angina
VSD,心室中隔欠損（症）,Ventricular Septal Defect
VSP,心室中隔穿孔,Ventricular Septal Perforation
VSR,心室中隔破裂,Ventricular Septal Rupture
VT,心室頻拍,Ventricular Tachycardia
VT、Vt,1回換気量,Tidal Volume
VVI,デマンド型心室ペーシング,Ventricle Demand Inhibited(pacemaker code)
W,重量、体重,Weight
WaR,ワッセルマン反応,Wassermann Reaction
WBC,白血球、白血球数,White Blood Cell(count)
WD,湿布、罨法,Wet Dressing
WDHA,水様下痢低カリウム血症無胃酸症候群、WDHA症候群,Watery Diarrhea-Hypokalemia-Achlorhydria(syndrome)
WDLL,高分化型小球性悪性リンパ腫,Well-Differentiated Lymphocytic Lymphoma
WF,ワーファリン,Warfarin
WG,ウェゲナー肉芽腫症,Wegener's Granulomatosis
WHD,ウェルドニッヒ・ホフマン病,Werdnig-hoffmann Disease
WHVP,肝静脈楔入圧,Wedged Hepatic Venous Pressure
Widal,ヴィダール反応,Widal's Reaction
WK,ウェルニッケ・コルサコフ症候群,Wernicke-Korsakoff(syndrome）
WMS,ウィルソン・ミキティ症候群,Wilson-Mikity Syndrome
WNL,正常範囲,Within Nomal Limits
WPW,ウォルフ・パーキンソン・ホワイト症候群,Wolff-Parkinson-White(syndrome)
WRC,洗浄赤血球,Washed Red Cells
WT,作業療法,Work therapy
WT、ｗｔ,体重,Weight
Xan,キサンチン,Xanthine
Xanth,黄色腫症,Xanthomatosis
Xe,キセノン,Xenon
Xg,Xg式血液型,X-linked blood group
XIP,ギプス固定のままでのX線撮影,X-ray In Plaster(examination)
XLA,伴性無γ-グロブリン血症,X-Linked Agammaglobulinemia
XLI,伴性遺伝性魚鱗癬,X-linked Ichthyosis
X-mat,交差試験,Cross Matching
XOP,ギプスを外した状態でのX線写真,X-ray Out of Plaster
XP,外斜位,Exophoria
XP、X-P、Xp,X線写真,X-ray Photograph
Xp-T,外斜位・斜位,Exophoria-Tropia
XR,ゼロラジオグラフィー,Xeroradiography
X-rays,レントゲン線、X線,X-rays、roentgen rays
XT,外斜視,Exotropia
XTV,X線テレビ,X-ray Television
XU,排泄性尿路造影（法）,Excretory Urography
ｙｓ,（網膜の）黄斑,Yellow Spot(on retina)
YST,卵黄嚢腫瘍,Yolk Sak Tumor
Y-TNM,治療後TNM分類,post treatment primary tumor、regional lymph nodes、distant metastases classification
Yuppie flu,ヤッピー感冒,Young Urban Professional People Flu
ZEEP,呼気圧ゼロ,Zero Positive End-Expiratory Pressure
ZE（S),ゾリンジャー・エリソン症候群,Zollinger-Ellison(syndrome)
ZIFT,接合子卵管内移植,Zygote Intrafallopian Transfer
ZIG,水痘抗体免疫グロブリン,Zoster Serum Immune Globulin
ZIｇ,帯状疱疹免疫グロブリン,Zoster Immune Globulin
ZIG-V,静注用帯状疱疹免疫グロブリン,Venous Zoster Immune Globulin
ZIP,水痘抗体価血清,Zoster Immune Plasma
ZK,子宮頸癌,Zervixkrebs
ZKS,中枢性協調障害,Zentrale Koordinationsstorung（独）
Z-line,食道胃粘膜接合部,Zigzag Line
Zn,亜鉛,Zinc
ZNS,ゾニサミド,Zonisamide
Zugg,ワイヤによる圧迫固定,Zuggurtungs-osteosynthese（独）
